2024-11-13 00:38:00.512 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:00.651 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:00.798 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:00.938 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:01.077 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:01.218 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:01.358 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:01.499 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:01.640 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:01.781 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:01.920 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:02.062 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:02.204 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:02.344 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:02.488 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:02.627 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:02.767 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:02.908 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:03.047 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:03.189 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:03.333 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:03.477 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:03.620 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:03.760 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:03.900 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:04.040 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:04.180 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:04.320 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:04.460 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:04.599 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
